Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2022,Control of Corruption: Estimate,CC.EST,-0.319765210151672
South Africa,ZAF,2021,Control of Corruption: Estimate,CC.EST,-0.034114234149456
South Africa,ZAF,2020,Control of Corruption: Estimate,CC.EST,-0.0589598156511784
South Africa,ZAF,2019,Control of Corruption: Estimate,CC.EST,-0.0310517251491547
South Africa,ZAF,2018,Control of Corruption: Estimate,CC.EST,-0.136328086256981
South Africa,ZAF,2017,Control of Corruption: Estimate,CC.EST,-0.127464935183525
South Africa,ZAF,2016,Control of Corruption: Estimate,CC.EST,0.0174094624817371
South Africa,ZAF,2015,Control of Corruption: Estimate,CC.EST,-0.0705104395747185
South Africa,ZAF,2014,Control of Corruption: Estimate,CC.EST,-0.124875418841839
South Africa,ZAF,2013,Control of Corruption: Estimate,CC.EST,-0.137831538915634
South Africa,ZAF,2012,Control of Corruption: Estimate,CC.EST,-0.184170603752136
South Africa,ZAF,2011,Control of Corruption: Estimate,CC.EST,-0.00423370534554124
South Africa,ZAF,2010,Control of Corruption: Estimate,CC.EST,0.0653930976986885
South Africa,ZAF,2009,Control of Corruption: Estimate,CC.EST,0.125426694750786
South Africa,ZAF,2008,Control of Corruption: Estimate,CC.EST,0.153828725218773
South Africa,ZAF,2007,Control of Corruption: Estimate,CC.EST,0.197672486305237
South Africa,ZAF,2006,Control of Corruption: Estimate,CC.EST,0.37827143073082
South Africa,ZAF,2005,Control of Corruption: Estimate,CC.EST,0.483857184648514
South Africa,ZAF,2004,Control of Corruption: Estimate,CC.EST,0.397753119468689
South Africa,ZAF,2003,Control of Corruption: Estimate,CC.EST,0.275540828704834
South Africa,ZAF,2002,Control of Corruption: Estimate,CC.EST,0.332901507616043
South Africa,ZAF,2000,Control of Corruption: Estimate,CC.EST,0.550269722938538
South Africa,ZAF,1998,Control of Corruption: Estimate,CC.EST,0.638808608055115
South Africa,ZAF,1996,Control of Corruption: Estimate,CC.EST,0.73292738199234
South Africa,ZAF,2022,Control of Corruption: Number of Sources,CC.NO.SRC,11
South Africa,ZAF,2021,Control of Corruption: Number of Sources,CC.NO.SRC,11
South Africa,ZAF,2020,Control of Corruption: Number of Sources,CC.NO.SRC,13
South Africa,ZAF,2019,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2018,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2017,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2016,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2015,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2014,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2013,Control of Corruption: Number of Sources,CC.NO.SRC,15
South Africa,ZAF,2012,Control of Corruption: Number of Sources,CC.NO.SRC,15
South Africa,ZAF,2011,Control of Corruption: Number of Sources,CC.NO.SRC,15
South Africa,ZAF,2010,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2009,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2008,Control of Corruption: Number of Sources,CC.NO.SRC,13
South Africa,ZAF,2007,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2006,Control of Corruption: Number of Sources,CC.NO.SRC,14
South Africa,ZAF,2005,Control of Corruption: Number of Sources,CC.NO.SRC,11
South Africa,ZAF,2004,Control of Corruption: Number of Sources,CC.NO.SRC,10
South Africa,ZAF,2003,Control of Corruption: Number of Sources,CC.NO.SRC,8
South Africa,ZAF,2002,Control of Corruption: Number of Sources,CC.NO.SRC,7
South Africa,ZAF,2000,Control of Corruption: Number of Sources,CC.NO.SRC,6
South Africa,ZAF,1998,Control of Corruption: Number of Sources,CC.NO.SRC,6
South Africa,ZAF,1996,Control of Corruption: Number of Sources,CC.NO.SRC,6
South Africa,ZAF,2022,Control of Corruption: Percentile Rank,CC.PER.RNK,44.8113212585449
South Africa,ZAF,2021,Control of Corruption: Percentile Rank,CC.PER.RNK,53.8095245361328
South Africa,ZAF,2020,Control of Corruption: Percentile Rank,CC.PER.RNK,53.3333320617676
South Africa,ZAF,2019,Control of Corruption: Percentile Rank,CC.PER.RNK,54.2857131958008
South Africa,ZAF,2018,Control of Corruption: Percentile Rank,CC.PER.RNK,52.3809509277344
South Africa,ZAF,2017,Control of Corruption: Percentile Rank,CC.PER.RNK,52.3809509277344
South Africa,ZAF,2016,Control of Corruption: Percentile Rank,CC.PER.RNK,57.1428565979004
South Africa,ZAF,2015,Control of Corruption: Percentile Rank,CC.PER.RNK,54.761905670166
South Africa,ZAF,2014,Control of Corruption: Percentile Rank,CC.PER.RNK,54.3269233703613
South Africa,ZAF,2013,Control of Corruption: Percentile Rank,CC.PER.RNK,54.502368927002
South Africa,ZAF,2012,Control of Corruption: Percentile Rank,CC.PER.RNK,53.0805702209473
South Africa,ZAF,2011,Control of Corruption: Percentile Rank,CC.PER.RNK,57.3459701538086
South Africa,ZAF,2010,Control of Corruption: Percentile Rank,CC.PER.RNK,61.4285697937012
South Africa,ZAF,2009,Control of Corruption: Percentile Rank,CC.PER.RNK,61.2440185546875
South Africa,ZAF,2008,Control of Corruption: Percentile Rank,CC.PER.RNK,62.1359214782715
South Africa,ZAF,2007,Control of Corruption: Percentile Rank,CC.PER.RNK,61.6504859924316
South Africa,ZAF,2006,Control of Corruption: Percentile Rank,CC.PER.RNK,69.7560958862305
South Africa,ZAF,2005,Control of Corruption: Percentile Rank,CC.PER.RNK,69.2682952880859
South Africa,ZAF,2004,Control of Corruption: Percentile Rank,CC.PER.RNK,69.4581298828125
South Africa,ZAF,2003,Control of Corruption: Percentile Rank,CC.PER.RNK,64.5502624511719
South Africa,ZAF,2002,Control of Corruption: Percentile Rank,CC.PER.RNK,67.1957702636719
